signal_date,exec_date,entry_date,direction,entry_price,exit_price,pnl,pnl_pct
2016-05-09,2016-05-10,2016-03-11,long,3026.4368,3055.1831,8915.94,0.008893
2017-04-24,2017-04-25,2017-02-21,long,3490.0855,3422.6521,-20366.42,-0.01991
2017-08-11,2017-08-14,2017-06-01,long,3499.8142,3651.3754,42850.07,0.04268
2018-02-01,2018-02-02,2018-01-11,long,4211.799,4181.7793,-8133.81,-0.007723
2019-03-08,2019-03-11,2019-02-12,long,3335.3606,3650.8125,99576.62,0.093921
2019-08-05,2019-08-06,2019-07-02,long,3942.4257,3575.8626,-108955.31,-0.093523
2020-07-16,2020-07-17,2020-05-11,long,3998.0972,4485.8214,129501.16,0.121316
2022-07-15,2022-07-18,2022-06-13,long,4218.2327,4217.5064,-949.5,-0.000772
2023-02-06,2023-02-07,2022-11-16,long,3877.6781,4077.9623,63003.86,0.05102
2024-04-12,2024-04-15,2024-02-22,long,3486.6826,3473.5047,-5766.63,-0.004377
2025-05-27,2025-05-28,2025-05-14,long,3960.5228,3833.9582,-43339.07,-0.032537
2026-05-18,2026-05-19,2026-04-21,long,4776.8258,4773.534,-1682.09,-0.001289
