signal_date,exec_date,entry_date,direction,entry_price,exit_price,pnl,pnl_pct
2016-07-08,2016-07-11,2016-06-28,short,2006.67,2143.1599,-68018.11,-0.068018
2016-11-01,2016-11-02,2016-07-11,long,2143.1599,2094.0,-21377.84,-0.022938
2016-11-15,2016-11-16,2016-11-02,short,2094.0,2179.22,-37059.06,-0.040697
2017-08-04,2017-08-07,2016-11-16,long,2179.22,2475.88,118916.79,0.136131
2018-07-10,2018-07-11,2018-02-05,short,2638.17,2785.91,-55578.79,-0.056001
2018-08-23,2018-08-24,2018-07-11,long,2785.91,2862.35,25706.26,0.027438
2019-01-18,2019-01-22,2018-10-11,short,2710.51,2657.88,18690.61,0.019417
2019-05-13,2019-05-14,2019-01-22,long,2657.88,2820.12,59898.43,0.061041
2019-06-18,2019-06-19,2019-05-14,short,2820.12,2931.74,-41209.71,-0.03958
2019-08-05,2019-08-06,2019-06-19,long,2931.74,2847.42,-28760.17,-0.028761
2019-10-25,2019-10-28,2019-08-06,short,2847.42,3044.08,-67077.51,-0.069066
2020-01-31,2020-02-03,2019-10-28,long,3044.08,3235.66,56901.72,0.062935
2020-04-29,2020-04-30,2020-02-03,short,3235.66,2930.91,90514.67,0.094185
2020-09-08,2020-09-09,2020-04-30,long,2930.91,3366.84,156402.28,0.148735
2020-10-12,2020-10-13,2020-09-09,short,3366.84,3534.01,-59976.99,-0.049652
2021-09-20,2021-09-21,2020-10-13,long,3534.01,4347.96,264400.01,0.230319
2021-10-25,2021-10-26,2021-09-21,short,4347.96,4598.53,-81394.08,-0.057629
2021-12-01,2021-12-02,2021-10-26,long,4598.53,4504.73,-27149.06,-0.020398
2022-08-10,2022-08-11,2021-12-02,short,4504.73,4257.91,71438.51,0.054791
2022-08-31,2022-09-01,2022-08-11,long,4257.91,3903.65,-114422.9,-0.0832
2022-11-11,2022-11-14,2022-09-01,short,3903.65,4008.97,-34017.45,-0.02698
2023-08-17,2023-08-18,2022-11-14,long,4008.97,4335.31,99866.78,0.081402
2023-11-10,2023-11-13,2023-08-18,short,4335.31,4421.76,-26455.49,-0.019941
2024-04-16,2024-04-17,2023-11-13,long,4421.76,5007.25,172166.03,0.132411
2024-05-15,2024-05-16,2024-04-17,short,5007.25,5325.49,-93579.94,-0.063556
2024-07-24,2024-07-25,2024-05-16,long,5325.49,5390.95,16948.28,0.012292
2024-08-19,2024-08-20,2024-07-25,short,5390.95,5620.51,-59435.48,-0.042582
2025-01-10,2025-01-13,2024-08-20,long,5620.51,5773.31,36329.87,0.027186
2025-02-13,2025-02-14,2025-01-13,short,5773.31,6127.47,-84205.42,-0.061344
2025-11-20,2025-11-21,2025-05-13,long,5906.64,6521.92,134215.91,0.104168
2026-04-13,2026-04-14,2025-11-21,short,6521.92,6969.42,-97616.72,-0.068615
,2026-07-31,2026-04-14,long,6969.42,7489.7248,98922.98,0.074655
